Dataset,SiteCode,POC,Date,Latitude,Longitude,Elevation,State,ammNO3f_Val,ammSO4f_Val,ECf_Val,OMCf_Val,RCTM_Val,MF_Val,CM_calculated_Val,RCFM_Val,SeaSaltf_Val,SOILf_Val
IMPAER,ACAD1,1,06/24/2017,44.3771,-68.261,157.3333,ME,0.23926,1.10715,0.15116,2.31052,6.62077,4.39598,2.40237,4.2184,0.07427,0.33604
IMPAER,ACAD1,1,06/27/2017,44.3771,-68.261,157.3333,ME,0.27883,1.03595,0.1574,1.68599,6.36071,4.12652,2.99647,3.36424,0.09016,0.11591
IMPAER,ACAD1,1,06/30/2017,44.3771,-68.261,157.3333,ME,0.86718,1.89167,0.20366,3.23206,14.1914,7.69107,7.36319,6.82824,0.46139,0.17228
IMPAER,ACAD1,1,07/03/2017,44.3771,-68.261,157.3333,ME,0.09382,0.93721,0.12013,2.33006,6.39635,3.90239,2.78615,3.6102,0.02615,0.10282
IMPAER,ACAD1,1,07/06/2017,44.3771,-68.261,157.3333,ME,0.10199,0.46744,0.11422,2.04233,5.02946,3.864,2.15123,2.87823,0.08845,0.06379
IMPAER,ACAD1,1,07/09/2017,44.3771,-68.261,157.3333,ME,0.15503,0.72215,0.12011,2.35987,5.41162,4.55486,1.84851,3.56311,0.12757,0.07838
IMPAER,ACAD1,1,07/12/2017,44.3771,-68.261,157.3333,ME,0.084,1.1485,0.15692,3.25676,6.95987,5.77361,2.14239,4.81748,0.0358,0.1355
IMPAER,ACAD1,1,07/15/2017,44.3771,-68.261,157.3333,ME,0.15774,0.5969,0.09554,2.05022,5.23814,3.61352,2.17241,3.06573,0.0594,0.10593
IMPAER,ACAD1,1,07/18/2017,44.3771,-68.261,157.3333,ME,0.07586,0.81352,0.10178,0.49592,2.65579,1.70159,1.11142,1.54437,0.01859,0.0387
IMPAER,ACAD1,1,07/21/2017,44.3771,-68.261,157.3333,ME,0.10766,1.93416,0.4212,6.19708,12.1383,11.49022,3.22645,8.91187,0.03767,0.2141
IMPAER,ACAD1,1,07/24/2017,44.3771,-68.261,157.3333,ME,0.07967,0.20123,0.08832,1.73117,4.5107,2.83688,2.23424,2.27646,0.05711,0.11896
IMPAER,ACAD1,1,07/27/2017,44.3771,-68.261,157.3333,ME,0.51369,0.81656,0.16941,2.53633,8.44056,4.98198,3.84763,4.59293,0.43749,0.11946
IMPAER,ACAD1,1,07/30/2017,44.3771,-68.261,157.3333,ME,0.04547,0.21347,0.07344,1.33805,3.40184,2.02221,1.58942,1.81242,0.02705,0.11493
IMPAER,ACAD1,1,06/01/2018,44.3771,-68.261,157.3333,ME,0.41437,1.11562,0.17104,1.72604,8.44144,4.28066,4.54532,3.89612,0.31327,0.15577
IMPAER,ACAD1,1,06/04/2018,44.3771,-68.261,157.3333,ME,0.17925,0.63157,0.03725,0.70837,6.8158,2.96812,4.07523,2.74057,1.09017,0.09397
IMPAER,ACAD1,1,06/07/2018,44.3771,-68.261,157.3333,ME,0.20289,0.59045,0.0451,0.93746,8.68127,2.36863,6.56399,2.11728,0.29767,0.04372
IMPAER,ACAD1,1,06/10/2018,44.3771,-68.261,157.3333,ME,0.02913,0.42391,0.05581,0.64708,5.27016,1.85066,3.91382,1.35634,0.03064,0.16977
IMPAER,ACAD1,1,06/13/2018,44.3771,-68.261,157.3333,ME,0.68127,0.86695,0.14824,2.52643,12.826,5.5154,7.69208,5.13389,0.56945,0.34155
IMPAER,ACAD1,1,06/16/2018,44.3771,-68.261,157.3333,ME,0.10648,0.40422,0.22277,2.80573,8.3431,4.76118,4.45204,3.89106,0.02675,0.32511
IMPAER,ACAD1,1,06/19/2018,44.3771,-68.261,157.3333,ME,0.03704,0.44142,0.06344,1.77701,7.49468,2.80195,5.0423,2.45238,0.01114,0.12233
IMPAER,ACAD1,1,06/22/2018,44.3771,-68.261,157.3333,ME,0.03052,0.32083,0.09844,1.2127,5.68348,2.39215,3.79556,1.88792,0.01289,0.21255
